vd_domain,vd_addr,vd_dataset,vd_sort,ad_line1,ad_city,ad_state,ad_zip,ad_ctry,vd_cr_terms,ad_taxable,ad_tax_usage,ad_phone
AEROSTAR,10869,AEROSTAR 199,MICHIGAN PALLET,PO BOX 436,CLINTON,MI,49236,USA,,0,,517 456 4240
AEROSTAR,10870,AEROSTAR 200,J & G PALLETS AND TRUCKING,2971 Bellevue St,DETROIT,MI,48207,USA,,0,,(313) 921-0222
AEROSTAR,10871,AEROSTAR 201,KB CONSULTING SERVICES INC.,4 BEACON WAY #1509,JERSEY CITY,NJ,7304,USA,ONREC,0,,
AEROSTAR,10872,AEROSTAR 202,AMERICAN RED CROSS,25688 NETWORK PLACE,CHICAGO,IL,60673-1256,USA,,0,,1-888-284-0607
AEROSTAR,10873,AEROSTAR 203,Javier Barrera Trejo,,,,,USA,,0,,
AEROSTAR,10874,AEROSTAR 204,Jared Long,,,,,USA,,0,,
AEROSTAR,10875,AEROSTAR 205,Said Yahia,,,,,USA,,0,,
AEROSTAR,10876,AEROSTAR 206,Saleh Algashash,,,,,USA,,0,,
AEROSTAR,10877,AEROSTAR 207,The Microscope Store LLC,1222 McDowell Avenue NE,Roanoke,VA,24012,USA,,0,,(877) 409-3556
AEROSTAR,10878,AEROSTAR 208,Humtown Products,44708 Columbiana-Waterford R,Columbiana,OH,44408,USA,,0,,330.482.5555
AEROSTAR,10879,AEROSTAR 209,Arista Consulting LLC,1297 Kennebec Court,Canton,MI,48187,USA,,0,,734-756-3616
AEROSTAR,10880,AEROSTAR 210,Bill Kimpton,,,,,USA,,0,,
AEROSTAR,10881,AEROSTAR 211,Constellation NewEnergy-Gas Division LLC,PO Box 5473,Carol Stream,IL,60197-5473,USA,,0,,
AEROSTAR,10882,AEROSTAR 212,JAMES BUMSTEAD,,,,,USA,ONREC,0,,
AEROSTAR,10883,AEROSTAR 213,407 ETR,PO BOX 407 STN 'D',SCARBOROUGH,ONTA,M1R 5J8,CA,dad,,,sasgf
AEROSTAR,10884,AEROSTAR 214,Precision Tool Co Inc,2839 Henry St,Muskegon,MI,49441,USA,,0,,(231) 733-0811
AEROSTAR,10885,AEROSTAR 215,SST Single Source Technologies North LLC,Dept CH 16516,Palatine,IL,60055-6516,usa,,0,,248-232-6260
AEROSTAR,10886,AEROSTAR 216,WESTSIDE FLAME HARDENING,38200 EXECUTIVE DRIVE N.,WESTLAND,MI,48185,USA,,0,,734 729 1665
AEROSTAR,10887,AEROSTAR 217,THE LEE COMPANY,3000 TOWN CENTER SUITE 2580,SOUTHFIELD,MI,48075,USA,N30,0,,248-827-2144
AEROSTAR,10888,AEROSTAR 218,ROBERT BEARD,,,,,USA,,0,,
AEROSTAR,10889,AEROSTAR 219,SKF LOGISTICS SERVICES,890 FORTY FOOT ROAD,LANSDALE,PA,19446,USA,,0,,
AEROSTAR,10890,AEROSTAR 220,MYRON DEVINEY,,,,,USA,,0,,
AEROSTAR,10891,AEROSTAR 221,Shashidhar S. Dhanashetti,,,,,IND,,0,,
AEROSTAR,10892,AEROSTAR 222,SHILOH,8200 100th St,Pleasant Prairie,WI,53158,USA,,0,,931-263-2099
AEROSTAR,10893,AEROSTAR 223,Cutting Tool Supply,340 W. Gerri Lane,Addison,IL,60101,USA,,0,,630.543.7171
AEROSTAR,10894,AEROSTAR 224,MUSAED ABOALI,,,,,USA,,0,,
AEROSTAR,10895,AEROSTAR 225,METRO ALARM SYSTEMS,46777 7 Mile Rd,NORTHVILLE,MI,48167,USA,,0,,734 326 7266
AEROSTAR,10897,AEROSTAR 226,William Gooden,,,,,USA,,0,,
AEROSTAR,10898,AEROSTAR 227,TaAron Gooden,,,,,USA,,0,,
AEROSTAR,10899,AEROSTAR 228,DMG Mori,2400 Huntington Blvd,Hoffman Estates,IL,60192,USA,,0,,847-387-1492
AEROSTAR,10900,AEROSTAR 229,Mohsen Almurisi,,,,,USA,,0,,
AEROSTAR,10901,AEROSTAR 230,Manpower,21271 Network Place,Chicago,IL,60673-1212,USA,,0,,
AEROSTAR,10902,AEROSTAR 231,Heather Powell,,,,,USA,,0,,
AEROSTAR,10903,AEROSTAR 232,DONALD HOWARD,,,,,USA,,0,,
AEROSTAR,10904,AEROSTAR 233,CATT SPINDLE REPAIR,3590 KRAFFT RD,FORT GRATIOT,MI,48059,USA,,0,,810-334-3754
AEROSTAR,10905,AEROSTAR 234,William Howard Johnson,,,,,USA,,0,,
AEROSTAR,10906,AEROSTAR 235,MICHIGAN AIR SOLUTIONS,4511 Clay Ave,Grand Rapids,MI,49548,USA,,0,,800--992-0236
AEROSTAR,10907,AEROSTAR 236,Pranaw Kumar Singh,,,,,USA,,0,,
AEROSTAR,10908,AEROSTAR 237,Douglass Davis-Harbour,,,,,USA,,0,,
AEROSTAR,10909,AEROSTAR 238,SES Environmental,3807 Transportation Drive,Fort Wayne,in,46818,USA,,0,,260-497-7645
AEROSTAR,10910,AEROSTAR 239,SMW Automotive LLC,,,,,USA,,0,,
AEROSTAR,10911,AEROSTAR 240,Ascentium Capital LLC,PO BOX 301593,DALLAS,TX,75303-1593,USA,,0,,
AEROSTAR,10912,AEROSTAR 241,SKF USA Inc,DEPT 2807,CAROL STREAM,IL,60132-2807,USA,,0,,
AEROSTAR,10913,AEROSTAR 242,ZOLLER INC,3900 Research Park Drive,ANN ARBOR,MI,48108,USA,N30,0,,734 - 332 - 4851
AEROSTAR,10914,AEROSTAR 243,JACK PEDOWITZ ENTERPRISES IN,,,,,USA,,0,,
AEROSTAR,10915,AEROSTAR 244,Northstar Bank,,,,,USA,,0,,
AEROSTAR,10916,AEROSTAR 245,EVANS COATINGS,1330 SOUTER DR,TROY,MI,48083,USA,,0,,248 583 9890
AEROSTAR,10917,AEROSTAR 246,Barbara Alvarez,,,,,usa,,0,,
AEROSTAR,10918,AEROSTAR 247,HENSHAW,100 Shafer Drive,Romeo,MI,48065,USA,,0,,(586) 752-0700
AEROSTAR,10919,AEROSTAR 248,LARRY SWEET,,,,,USA,,0,,
AEROSTAR,10920,AEROSTAR 249,LanceSoft Inc,PO Box # 75017,Chicago,IL,60675-5030,USA,,0,,
AEROSTAR,10921,AEROSTAR 250,FAIRFAX ELECTRIC,25447 Ecorse Rd,Taylor,MI,48180,USA,,0,,(313) 291-7794
AEROSTAR,10922,AEROSTAR 251,QUANTITAX LLC,JULIA HOULIS ADMIN COORDINA ONE CHAGRIN HIGHLANDS 2000 AUBURN DRIVE SUITE 200,BEACHWOOD,OH,44122,USA,,0,,
AEROSTAR,10923,AEROSTAR 252,Jingstone Precision M&C Tech,168 Guang Wu Rd Sanmin District Kaohsiung City,,,80765,CH,,0,,886-7-3855577
AEROSTAR,10924,AEROSTAR 253,Rodzina Industries Inc.,8201 RONDA DRIVE,CANTON,MI,48187,USA,,0,,734 892 2723
AEROSTAR,10925,AEROSTAR 254,Swileh Swileh,,,,,USA,,0,,
AEROSTAR,10926,AEROSTAR 255,COSTCO,,,,,USA,,0,,
AEROSTAR,10927,AEROSTAR 256,Richard McAllister,,,,,USA,,0,,
AEROSTAR,10928,AEROSTAR 257,BlackHawk Industrial,2845 Interstate Parkway,Brunswick,OH,44212,USA,,0,,330-225-5530
AEROSTAR,10929,AEROSTAR 258,John Aral,,,,,USA,,0,,
AEROSTAR,10930,AEROSTAR 259,MODULAR ALUMINUM TECHNOLOGY,7214 Gateway Park Drive,Clarkston,MI,48346,USA,,0,,248.620.1820
AEROSTAR,10931,AEROSTAR 260,Bodman PLC,6th Floor at Ford Field 1901 St. Antonie Street,Detroit,MI,48226,USA,,0,,313-259-7777
AEROSTAR,10932,AEROSTAR 261,ALLIANCE BROACH AND TOOL,5664 NORTH RIVER ROAD,EAST CHINA,MI,48054,USA,,0,,810-765-5755
AEROSTAR,10933,AEROSTAR 262,Michigan Department of Treas,Office of Collections PO Box 30199,Lansing,MI,48909-7699,USA,,0,,
AEROSTAR,10934,AEROSTAR 263,TERRELL SIMPSON,,,,,USA,,0,,
AEROSTAR,10935,AEROSTAR 264,PAPA JOHN'S PIZZA,,,,,USA,,0,,
AEROSTAR,10936,AEROSTAR 265,OFFICE DEPOT INC.,PO BOX 633301,CINCINNATI,OH,45263-3301,USA,,0,,
AEROSTAR,10937,AEROSTAR 266,Ahmed Alshaebi,,,,,USA,,0,,
AEROSTAR,10938,AEROSTAR 267,KYOCERA UNIMERCO TOOLING INC,6620 STATE RD,SALINE,MI,48176,USA,,0,,734 944 4433
AEROSTAR,10939,AEROSTAR 268,WHITE AUTOMATION & TOOL CO,28888 GODDARD RD,ROMULUS,MI,48174,USA,,0,,734-947-9822
AEROSTAR,10940,AEROSTAR 269,EMD Millipore,290 Concord Road,Billerica,MA,10821,USA,,0,,781 533-6000
AEROSTAR,10941,AEROSTAR 270,David Delong,,,,,USA,,0,,
AEROSTAR,10942,AEROSTAR 271,FORSBERG SCIENTIFIC,2719 Industrial Row Dr.,TROY,MI,48084,USA,,0,,(248) 288-5330
AEROSTAR,10943,AEROSTAR 272,BRANDON BRANDENBURG,,,,,USA,ONREC,0,,
AEROSTAR,10944,AEROSTAR 273,PACKAGING SPECIALTIES INC,24775 Network Place,Chicago,IL,60673-1247,USA,,0,,586.758.5240
AEROSTAR,10945,AEROSTAR 274,JUST PACKAGING INC,3300 NORTH SUMMIT ST,TOLEDO,OH,43611,USA,,0,,419 243 0909
AEROSTAR,10946,AEROSTAR 275,APAC PAPER,4000 ENTERPRISE DRIVE P.O. BOX 640,ALLEN PARK,MI,48101,USA,,0,,313 982-6400
AEROSTAR,10947,AEROSTAR 276,PRECISE TOOL & CUTTER INC.,51143 W. PONTIAC TRAIL,WIXOM,MI,48393,USA,,0,,248-684-8480
AEROSTAR,10948,AEROSTAR 277,SLS GROUP,PO BOX 531945,LIVONIA,MI,48153,USA,,0,,
AEROSTAR,10949,AEROSTAR 278,MIST-O-MATIC,5887 MONROE,TAYLOR,MI,48180,USA,,0,,
AEROSTAR,10950,AEROSTAR 279,ROBERT ELAM,,,,,USA,,0,,
AEROSTAR,10951,AEROSTAR 280,HISHAM AL GUDARI,,,,,USA,,0,,
AEROSTAR,10952,AEROSTAR 281,JOSE ALVAREZ,,,,,USA,,0,,
AEROSTAR,10953,AEROSTAR 282,JUANITA BATTS,,,,,USA,,0,,
AEROSTAR,10954,AEROSTAR 283,ROBERT BROWN,,,,,USA,,0,,
AEROSTAR,10955,AEROSTAR 284,SHAUNTA BROWN,,,,,USA,,0,,
AEROSTAR,10956,AEROSTAR 285,JAVON BRYANT,afsafa,Testing,sfsaf,afaf,USA,,,,sfsf
AEROSTAR,10957,AEROSTAR 286,GARY CAGLE,,,,,USA,,0,,
AEROSTAR,10958,AEROSTAR 287,KEITH COLE,,,,,USA,,0,,
AEROSTAR,10959,AEROSTAR 288,CARLOS CRUZ-HIDALGO,,,,,USA,,0,,
AEROSTAR,10961,AEROSTAR 289,EDREN DAVIS,,,,,USA,,0,,
AEROSTAR,10962,AEROSTAR 290,SERGIO DE-ALBA,,,,,USA,,0,,
AEROSTAR,10963,AEROSTAR 291,JOHN DEEGAN,,,,,USA,,0,,
AEROSTAR,10964,AEROSTAR 292,GERALD DEVEREAUX,,,,,USA,,0,,
AEROSTAR,10965,AEROSTAR 293,COLLIN DMYTRUSZ,,,,,USA,,0,,
AEROSTAR,10966,AEROSTAR 294,MARTIN EGLER,,,,,USA,,0,,
AEROSTAR,10967,AEROSTAR 295,LURENE EVANS,,,,,USA,,0,,
AEROSTAR,10968,AEROSTAR 296,JOHN FIELDS,,,,,USA,,0,,
